"grandparent_id","grandparent_name","parent_id","parent_name","child_id","child_name"
1,Technic,3,Competition,,
1,Technic,4,Expert Builder,,
1,Technic,16,RoboRiders,,
1,Technic,17,Speed Slammers,,
1,Technic,18,Star Wars,,
1,Technic,19,Supplemental,,
1,Technic,20,Throwbot Slizer,,
1,Technic,21,Universal Building Set,,
34,Make & Create,35,Bricks & More,,
50,Town,51,Arctic,,
52,City,53,Airport,,
52,City,54,Cargo,,
52,City,55,Coast Guard,,
52,City,56,Construction,,
52,City,57,Farm,,
52,City,58,Fire,,
52,City,59,Harbor,,
52,City,60,Hospital,,
52,City,61,Police,,
52,City,63,Traffic,,
52,City,64,Off-Road,,
52,City,65,Arctic,,
52,City,66,Trains,,
50,Town,67,Classic Town,,
50,Town,86,Divers,,
50,Town,87,Extreme Team,,
50,Town,88,Launch Command,,
50,Town,89,Outback,,
50,Town,90,Paradisa,,
50,Town,91,Race,,
50,Town,92,Res-Q,,
50,Town,93,Space Port,,
50,Town,94,Town Jr.,,
50,Town,104,Town Plan,,
50,Town,105,World City,,
50,Town,106,City Center,,
112,Racers,114,Ferrari,,
112,Racers,118,Promotional,,
112,Racers,122,RC,,
112,Racers,123,World Racers,,
126,Space,127,Alien Conquest,,
126,Space,128,Blacktron I,,
126,Space,129,Blacktron II,,
126,Space,130,Classic Space,,
126,Space,131,Exploriens,,
126,Space,132,Futuron,,
126,Space,133,Ice Planet 2002,,
126,Space,134,Insectoids,,
126,Space,135,Life On Mars,,
126,Space,136,M:Tron,,
126,Space,137,Mars Mission,,
126,Space,138,RoboForce,,
126,Space,139,Space Police I,,
126,Space,140,Space Police II,,
126,Space,141,Space Police III,,
126,Space,142,Spyrius,,
126,Space,143,Supplemental,,
126,Space,144,UFO,,
126,Space,145,Unitron,,
126,Space,146,Galaxy Squad,,
147,Pirates,148,Pirates I,,
147,Pirates,153,Pirates II,,
147,Pirates,154,Pirates III,,
155,Modular Buildings,156,Mini,,
598,Promotional,157,Bricktober,,
158,Star Wars,171,Ultimate Collector Series,,
186,Castle,187,Black Falcons,,
186,Castle,188,Black Knights,,
186,Castle,189,Classic Castle,,
186,Castle,190,Dragon Knights,,
186,Castle,191,Dark Forest,,
186,Castle,193,Fantasy Era,,
186,Castle,194,Forestmen,,
186,Castle,195,Fright Knights,,
186,Castle,196,Kingdoms,,
186,Castle,197,Knights Kingdom I,,
186,Castle,198,Knights Kingdom II,,
186,Castle,199,Lion Knights,,
186,Castle,201,Royal Knights,,
186,Castle,203,Wolfpack,,
22,Creator,204,Designer Sets,,
206,Seasonal,229,Easter,,
206,Seasonal,230,Halloween,,
206,Seasonal,231,Thanksgiving,,
206,Seasonal,232,Valentine,,
233,Train,234,"12V",,
233,Train,235,"4.5V",,
233,Train,236,"9V",,
233,Train,240,RC Train,,
233,Train,241,Supplemental,,
252,Architecture,253,Skylines,,
258,Mindstorms,259,NXT,,
258,Mindstorms,260,RCX,,
258,Mindstorms,261,Star Wars,,
258,Mindstorms,262,EV3,,
608,Disney,263,Pirates of the Caribbean,,
608,Disney,271,Prince of Persia,,
273,Studios,274,Jurassic Park III,,
276,Sculptures,277,Mosaic,,
279,"4 Juniors",280,Jack Stone,,
279,"4 Juniors",287,Spider-Man,,
296,Adventurers,297,Desert,,
296,Adventurers,298,Dino Island,,
296,Adventurers,299,Jungle,,
296,Adventurers,300,Orient Expedition,,
302,Agents,303,Ultra Agents,,
304,Alpha Team,305,Mission Deep Sea,,
304,Alpha Team,306,Mission Deep Freeze,,
307,Aquazone,308,Aquanauts,,
307,Aquazone,309,Aquaraiders I,,
307,Aquazone,310,Aquaraiders II,,
307,Aquazone,311,Aquasharks,,
307,Aquazone,312,Hydronauts,,
307,Aquazone,313,Stingrays,,
365,System,368,HO 1:87 Vehicles,,
365,System,369,Jumbo Bricks,,
365,System,371,Supplemental,,
365,System,372,Town Plan,,
608,Disney,388,Mickey Mouse,,
400,Hero Factory,401,Heroes,,
400,Hero Factory,403,Villains,,
22,Creator,406,Inventor,,
408,LEGO Brand Store,409,Monthly Mini Model Build,,
408,LEGO Brand Store,410,Pick A Model,,
411,Legoland,412,Airport,,
411,Legoland,413,Building,,
411,Legoland,414,Castle,,
411,Legoland,415,Coast Guard,,
411,Legoland,416,Construction,,
411,Legoland,417,Fire,,
411,Legoland,418,Gas Station,,
411,Legoland,419,Harbor,,
411,Legoland,420,Hospital,,
411,Legoland,421,Police,,
411,Legoland,422,Space,,
411,Legoland,423,Vehicle,,
411,Legoland,424,Western,,
443,Service Packs,453,Technic,,
443,Service Packs,456,Train,,
458,Sports,459,Basketball,,
458,Sports,460,Gravity Games,,
458,Sports,461,Hockey,,
458,Sports,462,Soccer,,
465,Universal Building Set,467,Basic,,
465,Universal Building Set,470,Classic Basic,,
598,Promotional,471,Ferries,,
465,Universal Building Set,472,Gears,,
465,Universal Building Set,473,Supplemental,,
22,Creator,478,X-Pod,,
497,Books,498,Technic,,
501,Gear,503,Key Chain,,
504,Duplo,505,Basic Set,,
507,Educational and Dacta,509,SPIKE,,
507,Educational and Dacta,510,Serious Play,,
507,Educational and Dacta,511,Building Set with People,,
507,Educational and Dacta,516,Duplo and Explore,,
507,Educational and Dacta,517,Learning,,
507,Educational and Dacta,523,Samsonite,,
507,Educational and Dacta,526,Soft Bricks,,
507,Educational and Dacta,528,Supplemental,,
507,Educational and Dacta,533,Town,,
507,Educational and Dacta,534,Universal Building Set,,
535,Collectible Minifigures,536,Series 1 Minifigures,,
535,Collectible Minifigures,537,Series 2 Minifigures,,
535,Collectible Minifigures,538,Series 3 Minifigures,,
535,Collectible Minifigures,539,Series 4 Minifigures,,
535,Collectible Minifigures,540,Series 5 Minifigures,,
535,Collectible Minifigures,541,Series 6 Minifigures,,
